Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,67.339996,68.00,63.509998,66.029999,15051900,64.138786
2015-11-02,64.449997,69.029999,64.389999,66.68,13158800,64.770164
2015-10-01,61.119999,65.830002,58.529999,64.25,15824500,62.409767
2015-09-01,62.849998,64.639999,58.73,60.970001,17751100,58.799446
2015-08-03,68.589996,69.419998,50.07,64.099998,18449100,61.818016
2015-07-01,68.120003,70.610001,65.209999,68.529999,15333500,66.090309
2015-06-01,65.989998,69.82,65.580002,67.760002,16268800,64.923386
2015-05-01,63.700001,67.190002,63.25,65.779999,14105100,63.026268
2015-04-01,60.41,64.480003,59.650002,63.259998,16281400,60.611763
2015-03-02,61.279999,62.869999,58.869999,60.580002,15904500,57.660706
2015-02-02,54.529999,61.919998,54.27,61.279999,17580400,58.326969
2015-01-02,62.18,62.959999,54.369999,54.380001,24757400,51.759476
2014-12-01,59.98,63.490002,58.110001,62.580002,16641000,59.183601
2014-11-03,60.790001,61.93,59.419998,60.16,11488000,56.894939
2014-10-01,60.240002,60.799999,54.259998,60.48,18859500,57.197571
2014-09-02,59.459999,61.849998,58.779999,60.240002,13299700,56.589333
2014-08-01,57.389999,59.950001,55.599998,59.450001,11926000,55.847206
2014-07-01,57.150002,59.349998,54.959999,57.669998,15145500,54.175076
2014-06-02,55.650002,58.220001,55.02,57.619999,13106200,53.75235
2014-05-01,55.919998,56.369999,52.970001,55.57,15575400,51.839954
2014-04-01,60.950001,61.290001,54.349998,55.98,20160900,52.222435
2014-03-03,56.299999,61.48,55.689999,60.709999,21003300,56.280212
2014-02-03,55.50,58.650002,54.200001,56.82,19147400,52.674053
2014-01-02,58.310001,59.82,54.689999,55.360001,21123300,51.320583
2013-12-02,57.099998,58.549999,55.400002,58.48,16249300,53.860657
2013-11-01,51.450001,58.139999,51.299999,57.220001,18652000,52.700184
2013-10-01,51.639999,54.849998,50.25,51.540001,22000100,47.468849
2013-09-03,51.25,53.93,50.060001,51.689999,22811000,47.258835
2013-08-01,56.360001,56.779999,50.130001,50.529999,16349700,46.198277
2013-07-01,53.220001,56.93,52.119999,55.73,19727600,50.952503
2013-06-03,54.599998,55.389999,50.110001,52.790001,22923600,47.915127
2013-05-01,48.759998,55.900002,46.98,54.59,26127900,49.548904
2013-04-01,47.549999,49.630001,46.049999,49.009998,22874300,44.484188
2013-03-01,48.599998,51.00,47.279999,47.459999,26341900,42.80965
2013-02-01,47.400002,49.68,46.849998,48.919998,25005700,44.126591
2013-01-02,44.98,47.349998,44.200001,47.049999,25817200,42.439823
2012-12-03,41.27,44.540001,40.200001,43.970001,24265200,39.391014
2012-11-01,41.700001,43.07,38.830002,41.080002,23220800,36.801975
2012-10-01,40.880001,43.540001,40.419998,41.68,25589900,37.339489
2012-09-04,36.98,42.09,36.779999,40.48,26693500,35.998589
2012-08-01,36.189999,38.860001,34.759998,37.139999,21082900,33.028347
2012-07-02,36.27,37.200001,33.099998,36.00,39743600,32.014557
2012-06-01,32.41,37.029999,30.83,35.73,51906000,31.511702
2012-05-01,43.00,44.240002,32.259998,33.150002,60746700,29.2363
2012-04-02,45.75,46.349998,41.799999,42.98,32037100,37.905762
2012-03-01,39.509998,46.490002,39.119999,45.98,38481700,40.287861
2012-02-01,37.889999,39.939999,37.049999,39.240002,30325900,34.382248
2012-01-03,34.060001,38.099998,34.009998,37.299999,37590700,32.682407
2011-12-01,30.860001,34.189999,30.030001,33.25,39824000,28.925566
2011-11-01,32.470001,35.18,28.280001,30.969999,42754500,26.942099
2011-10-03,30.030001,37.540001,27.85,34.759998,52929900,30.239176
2011-09-01,37.619999,37.82,28.530001,30.120001,51162600,25.974005
2011-08-01,41.16,41.369999,32.310001,37.560001,53060700,32.389896
2011-07-01,40.810001,42.549999,38.93,40.450001,35224400,34.882088
2011-06-01,42.869999,42.990002,39.240002,40.939999,37963600,35.08905
2011-05-02,45.939999,46.07,41.689999,43.240002,29295500,37.060349
2011-04-01,46.549999,47.799999,43.529999,45.630001,30067900,39.10878
2011-03-01,46.470001,47.099998,43.400002,46.099998,30781900,39.298492
2011-02-01,45.200001,48.360001,44.299999,46.689999,32819500,39.801445
2011-01-03,43.00,45.939999,42.650002,44.939999,42552800,38.309635
2010-12-01,37.950001,43.119999,37.650002,42.419998,30827200,36.119946
2010-11-01,37.610001,41.34,36.830002,37.400002,37815300,31.845499
2010-10-01,38.34,40.720001,36.209999,37.630001,46145300,32.04134
2010-09-01,36.740002,41.50,36.66,38.060001,36763200,32.365726
2010-08-02,40.98,41.700001,35.549999,36.360001,34464200,30.920067
2010-07-01,36.540001,41.240002,35.16,40.279999,40895800,34.253582
2010-06-01,39.32,39.959999,36.509998,36.610001,45953900,31.090145
2010-05-03,42.970001,43.73,37.02,39.580002,58929200,33.612347
2010-04-01,45.029999,48.200001,42.23,42.580002,47705200,36.160023
2010-03-01,42.029999,46.049999,41.34,44.75,34546300,37.960377
2010-02-01,39.099998,42.310001,37.029999,41.970001,49681900,35.602169
2010-01-04,41.790001,45.189999,38.07,38.939999,56985000,33.031891
2009-12-01,42.610001,43.09,40.040001,41.669998,35273800,35.305271
2009-11-02,42.18,44.990002,40.75,42.490002,34144700,36.000027
2009-10-01,43.400002,47.470001,40.529999,41.77,41631800,35.389999
2009-09-01,43.080002,46.50,40.75,43.82,35768700,37.082005
2009-08-03,39.119999,44.240002,38.990002,43.459999,42084800,36.777363
2009-07-01,34.27,39.470001,31.59,38.650002,51023000,32.706974
2009-06-01,37.400002,37.73,32.18,34.110001,66293200,28.822756
2009-05-01,32.849998,38.939999,32.060001,36.900002,80175600,31.180292
2009-04-01,25.290001,35.209999,25.290001,33.00,105136100,27.884811
2009-03-02,21.700001,29.60,14.96,26.58,131375300,22.42004
